,Gene1,Gene2
1,1,686
2,1,805
3,3,686
4,3,805
5,4,686
6,4,1006
7,5,686
8,5,1006
9,6,686
10,6,805
11,7,686
12,8,686
13,9,686
14,10,2
15,11,2
16,12,1006
17,12,2
18,13,686
19,14,686
20,15,805
21,16,805
22,17,686
23,18,408
24,18,805
25,19,1006
26,20,686
27,21,232
28,21,1006
29,22,232
30,22,1006
31,23,408
32,24,232
33,25,232
34,26,232
35,27,232
36,28,232
37,29,686
38,30,232
39,31,408
40,32,408
41,33,805
42,34,408
43,35,2
44,36,686
45,37,232
46,38,232
47,39,408
48,39,686
49,40,408
50,40,686
51,41,408
52,41,686
53,42,232
54,43,1006
55,44,1006
56,45,1006
57,46,1006
58,47,1006
59,48,1006
60,49,1006
61,50,1006
62,51,686
63,52,2
64,53,2
65,54,2
66,55,2
67,56,2
68,57,2
69,58,2
70,59,2
71,60,2
72,61,686
73,62,232
74,63,2
75,64,232
76,65,232
77,66,232
78,67,232
79,68,1006
80,69,1006
81,70,1006
82,71,1006
83,72,1006
84,73,686
85,73,1006
86,74,2
87,75,2
88,76,2
89,77,2
90,78,2
91,79,2
92,80,232
93,81,2
94,82,2
95,83,686
96,84,232
97,85,232
98,85,408
99,86,2
100,87,2
101,88,2
102,89,2
103,90,2
104,91,805
105,92,805
106,93,805
107,94,805
108,95,1006
109,96,1006
110,97,1006
111,98,686
112,99,686
113,100,1006
114,101,686
115,102,686
116,103,686
117,104,686
118,105,232
119,106,232
120,107,232
121,108,232
122,109,232
123,109,1006
124,110,2
125,111,686
126,111,2
127,111,232
128,112,686
129,112,2
130,112,232
131,113,686
132,114,686
133,114,805
134,115,686
135,115,805
136,116,686
137,116,805
138,117,686
139,117,805
140,118,686
141,118,805
142,119,686
143,120,686
144,120,805
145,121,2
146,121,805
147,122,2
148,122,805
149,123,1006
150,124,686
151,124,805
152,125,686
153,125,805
154,126,686
155,126,805
156,127,686
157,127,805
158,128,686
159,128,805
160,129,686
161,129,805
162,130,686
163,130,805
164,131,686
165,131,805
166,132,408
167,132,1006
168,133,1006
169,134,1006
170,135,1006
171,136,1006
172,137,1006
173,138,1006
174,139,1006
175,140,686
176,141,686
177,142,1006
178,143,686
179,144,686
180,145,232
181,146,232
182,147,232
183,148,2
184,149,2
185,150,805
186,151,1006
187,152,1006
188,153,686
189,154,1006
190,155,1006
191,156,1006
192,157,1006
193,158,1006
194,159,1006
195,160,1006
196,161,232
197,162,232
198,163,232
199,164,232
200,165,805
201,166,2
202,167,686
203,168,686
204,169,686
205,170,686
206,171,686
207,172,686
208,173,686
209,174,686
210,175,686
211,176,1006
212,177,1006
213,178,1006
214,179,686
215,179,805
216,180,1006
217,180,805
218,181,1006
219,181,805
220,182,1006
221,182,805
222,183,1006
223,184,1006
224,185,1006
225,186,1006
226,187,1006
227,188,1006
228,189,408
229,190,232
230,191,232
231,192,232
232,193,686
233,194,2
234,195,686
235,196,686
236,197,686
237,198,805
238,198,2
239,199,686
240,200,686
241,201,2
242,202,2
243,203,2
244,204,2
245,205,2
246,206,2
247,207,1006
248,208,408
249,208,805
250,209,408
251,209,805
252,210,408
253,210,805
254,211,408
255,211,805
256,213,1006
257,214,686
258,214,805
259,215,686
260,215,805
261,216,686
262,216,805
263,217,686
264,218,232
265,219,232
266,220,686
267,220,805
268,221,686
269,221,805
270,222,686
271,222,805
272,223,686
273,223,805
274,224,686
275,224,805
276,225,805
277,225,1006
278,226,1006
279,227,1006
280,228,1006
281,229,805
282,230,1006
283,231,805
284,233,686
285,233,1006
286,234,686
287,234,1006
288,235,2
289,236,2
290,237,2
291,237,686
292,238,2
293,238,686
294,239,686
295,240,686
296,241,805
297,242,686
298,243,1006
299,244,2
300,245,1006
301,246,408
302,247,408
303,248,1006
304,249,408
305,250,408
306,251,408
307,252,408
308,253,408
309,254,408
310,255,408
311,255,2
312,256,686
313,257,686
314,257,805
315,258,686
316,258,805
317,259,686
318,259,805
319,260,686
320,260,805
321,261,408
322,262,408
323,263,408
324,264,408
325,265,408
326,266,686
327,267,686
328,268,2
329,269,686
330,270,686
331,271,686
332,271,805
333,271,1006
334,272,1006
335,273,805
336,274,805
337,274,1006
338,274,408
339,275,805
340,276,805
341,277,408
342,278,805
343,279,805
344,280,805
345,281,805
346,282,805
347,283,686
348,284,686
349,285,686
350,286,686
351,287,2
352,288,2
353,289,1006
354,290,2
355,290,232
356,291,1006
357,292,1006
358,293,1006
359,294,232
360,295,686
361,295,805
362,296,686
363,297,805
364,297,1006
365,298,232
366,299,2
367,300,2
368,301,686
369,302,686
370,303,686
371,304,686
372,305,686
373,306,686
374,307,686
375,308,232
376,309,1006
377,310,1006
378,311,1006
379,312,1006
380,313,686
381,314,686
382,315,2
383,316,232
384,317,232
385,318,232
386,319,686
387,319,2
388,320,232
389,320,2
390,321,232
391,321,2
392,322,2
393,323,686
394,323,2
395,324,686
396,324,2
397,325,2
398,326,686
399,327,686
400,328,686
401,329,686
402,329,1006
403,330,686
404,331,686
405,332,686
406,333,408
407,334,408
408,334,686
409,335,408
410,335,686
411,336,408
412,336,686
413,337,408
414,337,686
415,338,686
416,339,686
417,340,686
418,341,686
419,342,686
420,343,686
421,344,805
422,346,686
423,346,2
424,347,686
425,347,2
426,348,686
427,348,2
428,349,2
429,350,805
430,351,805
431,352,232
432,353,805
433,354,805
434,355,805
435,356,805
436,357,686
437,358,1006
438,359,1006
439,360,805
440,361,232
441,361,2
442,362,2
443,363,232
444,364,805
445,365,2
446,366,232
447,366,2
448,367,805
449,368,805
450,369,232
451,370,232
452,371,232
453,372,232
454,373,686
455,374,686
456,375,686
457,376,686
458,377,686
459,378,686
460,379,686
461,379,805
462,380,686
463,380,805
464,381,686
465,382,805
466,383,2
467,383,686
468,383,805
469,384,2
470,384,686
471,384,805
472,385,2
473,385,686
474,385,805
475,386,232
476,387,232
477,388,232
478,389,232
479,390,232
480,391,2
481,392,232
482,393,232
483,394,2
484,395,2
485,396,1006
486,397,1006
487,398,1006
488,399,1006
489,400,1006
490,401,1006
491,402,1006
492,403,1006
493,404,232
494,405,232
495,406,2
496,407,2
497,409,408
498,410,408
499,411,408
500,412,232
501,413,408
502,413,232
503,414,408
504,415,232
505,416,232
506,417,686
507,417,805
508,417,1006
509,418,686
510,418,805
511,418,1006
512,419,2
513,420,2
514,421,2
515,421,232
516,422,686
517,422,805
518,423,805
519,424,1006
520,425,2
521,426,2
522,427,1006
523,428,1006
524,428,805
525,429,805
526,430,2
527,431,2
528,432,2
529,433,2
530,434,232
531,435,1006
532,436,686
533,437,686
534,437,1006
535,438,408
536,439,805
537,440,1006
538,441,805
539,442,232
540,443,232
541,444,1006
542,444,805
543,445,1006
544,445,805
545,446,1006
546,446,805
547,447,1006
548,447,805
549,448,1006
550,448,805
551,449,1006
552,449,805
553,450,686
554,451,686
555,452,686
556,453,686
557,454,686
558,455,686
559,456,686
560,457,686
561,458,805
562,458,1006
563,459,805
564,459,1006
565,460,805
566,460,1006
567,461,805
568,461,1006
569,462,805
570,462,1006
571,463,805
572,463,1006
573,464,805
574,464,1006
575,465,805
576,465,1006
577,466,805
578,466,1006
579,467,805
580,468,686
581,469,686
582,470,686
583,471,686
584,472,686
585,473,686
586,474,686
587,475,686
588,476,686
589,477,686
590,478,686
591,479,805
592,479,1006
593,480,686
594,480,805
595,480,1006
596,481,686
597,481,805
598,481,1006
599,482,686
600,482,805
601,482,1006
602,483,686
603,483,805
604,483,1006
605,484,686
606,485,805
607,486,686
608,487,408
609,488,1006
610,489,1006
611,490,1006
612,491,1006
613,492,1006
614,493,805
615,493,1006
616,494,232
617,495,232
618,496,232
619,497,805
620,498,805
621,499,805
622,500,232
623,501,232
624,502,805
625,503,805
626,504,805
627,505,2
628,506,2
629,507,1006
630,508,686
631,509,686
632,510,1006
633,511,1006
634,512,1006
635,513,1006
636,514,232
637,515,686
638,515,1006
639,516,232
640,517,232
641,518,408
642,519,408
643,520,408
644,521,408
645,522,232
646,523,232
647,524,232
648,525,232
649,526,232
650,527,232
651,528,232
652,529,232
653,530,232
654,531,232
655,532,232
656,533,232
657,534,232
658,535,232
659,536,232
660,537,232
661,538,232
662,539,232
663,540,232
664,541,686
665,542,686
666,543,686
667,544,2
668,545,686
669,546,1006
670,547,1006
671,548,1006
672,549,232
673,550,232
674,551,232
675,552,232
676,553,805
677,554,232
678,554,408
679,555,232
680,555,408
681,556,232
682,556,408
683,557,408
684,558,408
685,559,686
686,560,686
687,561,2
688,562,686
689,563,408
690,564,686
691,564,1006
692,565,686
693,565,1006
694,566,686
695,566,1006
696,567,805
697,568,2
698,569,2
699,570,2
700,571,232
701,572,686
702,573,1006
703,574,1006
704,575,1006
705,576,1006
706,577,2
707,578,2
708,579,232
709,580,232
710,580,2
711,581,232
712,582,232
713,583,232
714,584,232
715,585,232
716,586,232
717,587,232
718,587,2
719,588,232
720,589,232
721,590,232
722,591,232
723,592,232
724,593,2
725,594,686
726,595,686
727,596,686
728,597,2
729,598,2
730,599,1006
731,600,2
732,600,805
733,601,232
734,601,2
735,602,2
736,603,232
737,603,2
738,604,1006
739,605,805
740,605,686
741,606,805
742,606,686
743,607,805
744,607,686
745,608,805
746,608,686
747,609,805
748,609,686
749,610,805
750,611,805
751,612,805
752,613,686
753,614,686
754,615,1006
755,616,1006
756,617,232
757,618,686
758,619,686
759,620,686
760,621,805
761,621,1006
762,622,232
763,623,232
764,624,232
765,625,1006
766,626,2
767,627,1006
768,627,2
769,628,1006
770,629,1006
771,630,1006
772,631,408
773,632,1006
774,632,408
775,633,408
776,634,408
777,635,1006
778,635,408
779,636,408
780,637,686
781,637,1006
782,637,805
783,638,686
784,638,1006
785,638,805
786,639,686
787,639,1006
788,639,805
789,640,686
790,640,1006
791,640,805
792,641,686
793,641,1006
794,641,805
795,642,686
796,642,1006
797,642,805
798,643,686
799,643,1006
800,643,805
801,644,686
802,644,805
803,645,686
804,645,805
805,646,686
806,646,805
807,647,686
808,647,805
809,648,686
810,648,805
811,649,686
812,649,805
813,650,686
814,650,805
815,651,686
816,651,805
817,651,1006
818,652,2
819,653,2
820,654,2
821,655,2
822,656,2
823,657,1006
824,658,232
825,659,232
826,660,686
827,661,686
828,662,686
829,663,686
830,664,686
831,665,686
832,666,686
833,666,805
834,667,686
835,667,805
836,668,686
837,668,805
838,669,1006
839,670,686
840,670,805
841,671,686
842,671,805
843,672,232
844,673,232
845,674,686
846,674,232
847,675,232
848,676,232
849,677,686
850,677,232
851,678,232
852,679,232
853,680,686
854,680,805
855,680,1006
856,681,686
857,681,805
858,681,1006
859,682,686
860,682,805
861,682,1006
862,683,686
863,683,805
864,683,1006
865,684,686
866,684,805
867,684,1006
868,685,686
869,685,805
870,685,1006
871,687,686
872,687,805
873,687,1006
874,688,686
875,688,805
876,689,686
877,689,805
878,690,686
879,690,805
880,691,686
881,691,805
882,692,686
883,692,805
884,693,686
885,693,805
886,694,686
887,694,805
888,695,686
889,695,805
890,696,686
891,696,805
892,697,686
893,697,805
894,698,686
895,698,805
896,699,686
897,699,805
898,700,686
899,700,805
900,701,408
901,702,408
902,703,2
903,704,232
904,704,686
905,705,1006
906,705,408
907,705,805
908,706,1006
909,706,408
910,706,805
911,707,805
912,708,686
913,709,686
914,710,1006
915,711,1006
916,712,805
917,713,805
918,714,805
919,715,805
920,716,805
921,717,1006
922,718,1006
923,719,805
924,720,805
925,721,805
926,722,805
927,723,805
928,724,805
929,725,805
930,726,805
931,727,805
932,728,805
933,729,805
934,730,805
935,731,805
936,732,2
937,733,686
938,734,686
939,735,232
940,736,1006
941,737,686
942,738,686
943,739,686
944,739,805
945,740,232
946,741,232
947,742,232
948,743,232
949,744,2
950,745,686
951,746,686
952,747,686
953,747,1006
954,748,232
955,749,232
956,750,2
957,751,686
958,751,805
959,752,686
960,753,2
961,754,232
962,755,2
963,756,2
964,757,2
965,758,2
966,759,2
967,760,1006
968,760,408
969,761,1006
970,762,686
971,763,2
972,764,2
973,765,686
974,765,805
975,766,686
976,766,805
977,767,232
978,768,232
979,769,232
980,770,232
981,771,232
982,772,232
983,773,232
984,774,2
985,775,1006
986,776,805
987,777,805
988,778,805
989,779,805
990,780,805
991,781,805
992,782,686
993,782,805
994,783,686
995,783,805
996,784,686
997,784,805
998,785,686
999,785,805
1000,786,686
1001,787,686
1002,788,686
1003,789,2
1004,790,2
1005,791,2
1006,792,2
1007,793,2
1008,794,2
1009,795,2
1010,796,2
1011,797,2
1012,798,686
1013,798,2
1014,799,686
1015,799,2
1016,800,2
1017,801,2
1018,802,686
1019,803,686
1020,804,686
1021,806,686
1022,807,2
1023,808,2
1024,809,232
1025,810,2
1026,811,1006
1027,812,1006
1028,813,232
1029,814,232
1030,815,2
1031,816,2
1032,817,1006
1033,818,1006
1034,819,1006
1035,820,1006
1036,821,1006
1037,822,1006
1038,823,1006
1039,824,1006
1040,825,1006
1041,826,1006
1042,827,686
1043,827,1006
1044,828,2
1045,829,2
1046,830,686
1047,831,2
1048,832,408
1049,832,686
1050,833,686
1051,834,686
1052,835,686
1053,836,686
1054,837,686
1055,838,686
1056,839,686
1057,839,1006
1058,840,686
1059,841,686
1060,842,686
1061,843,1006
1062,844,1006
1063,844,408
1064,844,805
1065,845,686
1066,845,2
1067,846,1006
1068,847,686
1069,848,686
1070,849,686
1071,850,2
1072,851,686
1073,852,686
1074,853,686
1075,854,232
1076,855,232
1077,856,232
1078,857,232
1079,858,232
1080,859,232
1081,860,232
1082,861,232
1083,862,232
1084,863,232
1085,864,232
1086,865,232
1087,866,232
1088,867,232
1089,868,232
1090,869,232
1091,870,232
1092,871,232
1093,872,232
1094,873,232
1095,874,232
1096,875,232
1097,876,1006
1098,877,1006
1099,878,1006
1100,879,2
1101,880,2
1102,881,805
1103,882,805
1104,883,2
1105,884,2
1106,885,2
1107,886,2
1108,887,2
1109,888,2
1110,889,2
1111,890,686
1112,891,686
1113,892,686
1114,893,232
1115,894,686
1116,895,686
1117,896,686
1118,897,686
1119,898,686
1120,899,232
1121,899,2
1122,900,232
1123,901,232
1124,902,232
1125,903,805
1126,904,805
1127,905,805
1128,906,2
1129,907,2
1130,908,1006
1131,909,232
1132,910,686
1133,910,805
1134,910,2
1135,911,805
1136,911,1006
1137,912,2
1138,913,2
1139,914,2
1140,915,1006
1141,916,805
1142,916,1006
1143,917,408
1144,917,232
1145,918,408
1146,918,232
1147,919,408
1148,919,232
1149,920,408
1150,920,232
1151,921,408
1152,921,232
1153,922,686
1154,923,1006
1155,923,686
1156,923,805
1157,924,1006
1158,924,686
1159,924,805
1160,925,1006
1161,925,686
1162,925,805
1163,926,1006
1164,926,686
1165,926,805
1166,927,1006
1167,927,686
1168,927,805
1169,928,232
1170,929,686
1171,929,805
1172,930,686
1173,930,805
1174,931,686
1175,931,805
1176,932,686
1177,932,805
1178,933,805
1179,933,1006
1180,934,805
1181,934,1006
1182,935,805
1183,935,1006
1184,936,805
1185,936,1006
1186,937,805
1187,937,1006
1188,938,805
1189,938,1006
1190,939,1006
1191,940,686
1192,941,686
1193,942,1006
1194,943,1006
1195,944,1006
1196,945,1006
1197,946,686
1198,946,805
1199,947,686
1200,947,805
1201,948,686
1202,948,805
1203,949,686
1204,949,805
1205,950,686
1206,950,805
1207,951,686
1208,951,805
1209,952,686
1210,952,805
1211,953,232
1212,954,1006
1213,955,1006
1214,956,1006
1215,957,232
1216,958,232
1217,959,232
1218,960,232
1219,961,2
1220,962,2
1221,963,2
1222,964,2
1223,965,1006
1224,966,232
1225,967,2
1226,968,2
1227,969,2
1228,970,1006
1229,971,232
1230,972,686
1231,973,686
1232,973,232
1233,974,686
1234,974,232
1235,975,2
1236,976,232
1237,977,232
1238,978,686
1239,979,1006
1240,980,1006
1241,981,1006
1242,982,1006
1243,983,1006
1244,984,1006
1245,985,2
1246,986,1006
1247,987,1006
1248,988,1006
1249,989,408
1250,990,232
1251,991,1006
1252,992,1006
1253,993,805
1254,993,1006
1255,994,232
1256,995,232
1257,996,232
1258,997,686
1259,997,805
1260,998,686
1261,998,805
1262,999,2
1263,1000,408
1264,1001,1006
1265,1002,1006
1266,1003,1006
1267,1004,805
1268,1004,1006
1269,1005,805
1270,1005,1006
1271,1007,805
1272,1007,1006
1273,1008,805
1274,1008,1006
1275,1009,805
1276,1009,1006
1277,1010,805
1278,1010,1006
1279,1011,805
1280,1011,1006
1281,1012,1006
1282,1013,1006
1283,1014,686
1284,1015,686
1285,1016,408
1286,1016,805
1287,1017,805
1288,1018,686
1289,1019,1006
1290,1019,686
1291,1020,1006
1292,1021,1006
1293,1021,686
1294,1022,1006
1295,1023,1006
1296,1024,1006
1297,1025,232
1298,1026,232
1299,1027,232
1300,1028,232
1301,1029,1006
1302,1030,1006
1303,1031,1006
1304,1032,1006
1305,1033,1006
1306,1034,1006
1307,1035,1006
1308,1036,686
1309,1037,686
1310,1038,686
1311,1039,1006
1312,1040,1006
1313,1041,232
1314,1041,408
1315,1042,232
1316,1042,408
1317,1043,232
1318,1043,408
1319,1044,686
1320,1044,232
1321,1045,686
1322,1046,1006
1323,1047,2
1324,1048,2
1325,1049,2
1326,1050,686
1327,1051,686
1328,1052,2
1329,1053,2
1330,1054,2
1331,1055,2
1332,1056,686
1333,1057,1006
1334,1058,408
1335,1058,686
1336,1059,1006
1337,1060,686
1338,1061,232
1339,1062,232
1340,1063,232
1341,1064,1006
1342,1065,686
1343,1066,1006
1344,1067,686
1345,1068,2
1346,1069,2
1347,1071,1006
1348,1072,686
1349,1072,805
1350,1073,686
1351,1073,805
1352,1074,686
1353,1074,805
1354,1075,686
1355,1075,805
1356,1076,686
1357,1076,805
1358,1077,686
1359,1077,805
1360,1078,1006
1361,1079,1006
1362,1080,2
1363,1081,2
1364,1082,805
1365,1082,1006
1366,1083,1006
1367,1084,686
1368,1085,2
1369,1086,232
1370,1087,686
1371,1087,805
1372,1088,2
1373,1089,1006
1374,1090,686
1375,1091,686
1376,1091,1006
1377,1092,2
1378,1093,2
1379,1094,2
1380,1095,805
1381,1096,408
1382,1097,2
1383,1098,2
1384,1099,2
1385,1100,2
1386,1101,2
1387,1102,686
1388,1102,1006
1389,1103,805
1390,1104,805
1391,1105,805
1392,1106,805
1393,1107,805
1394,1108,805
1395,1109,1006
1396,1110,805
1397,1110,1006
1398,1111,805
1399,1111,1006
1400,1112,805
1401,1112,1006
1402,1113,805
1403,1113,1006
1404,1114,805
1405,1115,1006
1406,1116,232
1407,1117,1006
1408,1118,232
1409,1119,232
1410,1120,1006
1411,1121,1006
1412,1122,2
1413,1123,686
1414,1124,686
1415,1125,686
1416,1126,686
1417,1127,686
1418,1128,805
1419,1128,1006
1420,1129,232
1421,1130,1006
1422,1131,686
1423,1132,2
1424,1133,686
1425,1134,686
1426,1134,805
1427,1134,1006
1428,1135,1006
1429,1136,1006
1430,1137,1006
1431,1138,1006
1432,1139,2